"Study_old","Study","ID","Description","NES","pvalue","p.adjust","GeneRatio","BgRatio","geneID","geneName","Count","BG","Freq","total_study","celltype","regulators","-log10(Padj)","Study_1","Study_2","Cell_line"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_IB","ANTIGEN PROCESSING AND PRESENTATION 
OF PEPTIDE ANTIGEN VIA 
MHC CLASS IB",2.59118437038948,0.000502853217879002,0.013311243038997,"2/86","7/17332","567/6891","B2M/TAP2",2,7,14,19,"Tcells","pos",1.875781387067,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","REACTOME_1059683","Interleukin-6 signaling",1.13601981447915,0.00130009571339518,0.0233891005526337,"2/86","11/17332","6772/3716","STAT1/JAK1",2,11,14,19,"Tcells","pos",1.63098647902619,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","REACTOME_877312","Regulation of IFNG signaling",1.13601981447915,0.00213035727275996,0.0298014320210331,"2/86","14/17332","6772/3716","STAT1/JAK1",2,14,14,19,"Tcells","pos",1.52576286666569,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","REACTOME_8984722","Interleukin-35 Signalling",1.13601981447915,0.00155509000322497,0.0257284087140702,"2/86","12/17332","6772/3716","STAT1/JAK1",2,12,14,19,"Tcells","pos",1.58958707380013,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","REACTOME_8985947","Interleukin-9 signaling",1.13601981447915,0.000856483032028607,0.0183287321438576,"2/86","9/17332","6772/3716","STAT1/JAK1",2,9,14,19,"Tcells","pos",1.73686757551625,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","REACTOME_9020956","Interleukin-27 signaling",1.13601981447915,0.00130009571339518,0.0233891005526337,"2/86","11/17332","6772/3716","STAT1/JAK1",2,11,14,19,"Tcells","pos",1.63098647902619,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","BIOCARTA_MHC_PATHWAY","MHC PATHWAY",4.09240083481514,5.16781804303168e-09,6.38397788915847e-07,"5/86","14/17332","3105/567/6891/5693/6890","HLA-A/B2M/TAP2/PSMB5/TAP1",5,14,13,19,"Tcells","pos",6.19490862582918,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_PEPTIDE_ANTIGEN","ANTIGEN PROCESSING AND PRESENTATION 
OF ENDOGENOUS PEPTIDE ANTIGEN",4.20275126391766,2.94359605162188e-08,3.03026860203075e-06,"5/86","19/17332","3105/567/6892/6891/6890","HLA-A/B2M/TAPBP/TAP2/TAP1",5,19,13,19,"Tcells","pos",5.51851887406878,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","KEGG_hsa05160","Hepatitis C",2.15591873687318,0.0011044457352359,0.0210983293545581,"5/86","157/17332","8737/841/8772/6772/3716","RIPK1/CASP8/FADD/STAT1/JAK1",5,157,13,19,"Tcells","pos",1.67575193241898,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","KEGG_hsa05170","Human immunodeficiency virus 1 
infection",4.85239658509603,1.05295912119442e-06,7.80453300629306e-05,"9/86","212/17332","3105/567/6892/6891/1399/6890/8737/841/8772","HLA-A/B2M/TAPBP/TAP2/CRKL/TAP1/RIPK1/CASP8/FADD",9,212,13,19,"Tcells","pos",4.10765307836167,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","REACTOME_9020958","Interleukin-21 signaling",1.13601981447915,0.00106715304281119,0.0208151009297805,"2/86","10/17332","6772/3716","STAT1/JAK1",2,10,13,19,"Tcells","pos",1.68162147893332,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","REACTOME_9674555","Signaling by CSF3 (G-CSF)",1.13601981447915,0.00393926160952987,0.0420771481881023,"2/86","19/17332","6772/3716","STAT1/JAK1",2,19,13,19,"Tcells","pos",1.37595370250785,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","REACTOME_983170","Antigen Presentation: Folding, assembly 
and peptide loading of 
class I MHC",4.20275126391766,1.31387073093605e-07,1.15933450686881e-05,"5/86","25/17332","3105/567/6892/6891/6890","HLA-A/B2M/TAPBP/TAP2/TAP1",5,25,13,19,"Tcells","pos",4.93579123743849,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION","ANTIGEN PROCESSING AND PRESENTATION",4.20275126391766,0.000191132952767201,0.00706398559539935,"5/86","107/17332","3105/567/6892/6891/6890","HLA-A/B2M/TAPBP/TAP2/TAP1",5,107,12,19,"Tcells","pos",2.15095019502575,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_ANTIGEN","ANTIGEN PROCESSING AND PRESENTATION 
OF ENDOGENOUS ANTIGEN",4.20275126391766,1.62036807783079e-07,1.34193122205213e-05,"5/86","26/17332","3105/567/6892/6891/6890","HLA-A/B2M/TAPBP/TAP2/TAP1",5,26,12,19,"Tcells","pos",4.87226974247454,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN","ANTIGEN PROCESSING AND PRESENTATION 
OF PEPTIDE ANTIGEN",4.20275126391766,1.49913642806145e-05,0.000957896483171676,"5/86","63/17332","3105/567/6892/6891/6890","HLA-A/B2M/TAPBP/TAP2/TAP1",5,63,12,19,"Tcells","pos",3.01868142120998,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I","ANTIGEN PROCESSING AND PRESENTATION 
OF PEPTIDE ANTIGEN VIA 
MHC CLASS I",4.20275126391766,2.89130118921619e-07,2.23232545984067e-05,"5/86","29/17332","3105/567/6892/6891/6890","HLA-A/B2M/TAPBP/TAP2/TAP1",5,29,12,19,"Tcells","pos",4.65124248755313,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","KEGG_hsa04612","Antigen processing and presentation",4.20275126391766,4.24765734897258e-05,0.00212727272098546,"5/86","78/17332","3105/567/6892/6891/6890","HLA-A/B2M/TAPBP/TAP2/TAP1",5,78,12,19,"Tcells","pos",2.67217682903166,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","REACTOME_1236974","ER-Phagosome pathway",4.8102653688436,6.68377945341739e-10,2.15391274617774e-07,"9/86","91/17332","3105/567/6892/6891/5693/6890/29927/5687/5691","HLA-A/B2M/TAPBP/TAP2/PSMB5/TAP1/SEC61A1/PSMA6/PSMB3",9,91,12,19,"Tcells","pos",6.66677189371262,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","BIOCARTA_IL10_PATHWAY","IL10 PATHWAY",1.13601981447915,0.0018319164726459,0.0275416901160069,"2/86","13/17332","6772/3716","STAT1/JAK1",2,13,11,19,"Tcells","pos",1.56000941246204,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","KEGG_hsa05162","Measles",1.79349272670438,0.00506231392989268,0.0490434690749988,"4/86","139/17332","841/8772/6772/3716","CASP8/FADD/STAT1/JAK1",4,139,11,19,"Tcells","pos",1.30941881771388,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","REACTOME_909733","Interferon alpha/beta signaling",2.3865395766512,0.00468557550093372,0.0474446524766676,"3/86","68/17332","3105/6772/3716","HLA-A/STAT1/JAK1",3,68,11,19,"Tcells","pos",1.32381273014396,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","BIOCARTA_CTL_PATHWAY","CTL PATHWAY",3.26672878639671,0.0018319164726459,0.0275416901160069,"2/86","13/17332","3105/567","HLA-A/B2M",2,13,10,19,"Tcells","pos",1.56000941246204,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","BIOCARTA_HIVNEF_PATHWAY","HIVNEF PATHWAY",1.96910413107952,0.000170462621146193,0.0065805674371645,"4/86","56/17332","8737/71/841/8772","RIPK1/ACTG1/CASP8/FADD",4,56,10,19,"Tcells","pos",2.1817366558991,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","BIOCARTA_SODD_PATHWAY","SODD PATHWAY",1.67873408719861,1.38029888982612e-05,0.000913462086731357,"3/86","10/17332","8737/841/8772","RIPK1/CASP8/FADD",3,10,10,19,"Tcells","pos",3.03930947334161,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","BIOCARTA_TNFR1_PATHWAY","TNFR1 PATHWAY",1.67873408719861,0.00039260764522724,0.0113672182282199,"3/86","29/17332","8737/841/8772","RIPK1/CASP8/FADD",3,29,10,19,"Tcells","pos",1.94434580232593,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","PID_HIV_NEF_PATHWAY","HIV NEF PATHWAY",1.67873408719861,0.000688296183343501,0.0163514465094296,"3/86","35/17332","8737/841/8772","RIPK1/CASP8/FADD",3,35,10,19,"Tcells","pos",1.78644382200825,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","PID_IL12_2PATHWAY","IL12 2PATHWAY",3.28294767574462,0.00361217652006648,0.040080018513073,"3/86","62/17332","3105/567/6772","HLA-A/B2M/STAT1",3,62,10,19,"Tcells","pos",1.39707208653892,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","REACTOME_3371378","Regulation by c-FLIP",1.67873408719861,1.89110251832564e-05,0.00113039127950239,"3/86","11/17332","8737/841/8772","RIPK1/CASP8/FADD",3,11,10,19,"Tcells","pos",2.9467712015475,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","REACTOME_69416","Dimerization of procaspase-8",1.67873408719861,1.89110251832564e-05,0.00113039127950239,"3/86","11/17332","8737/841/8772","RIPK1/CASP8/FADD",3,11,10,19,"Tcells","pos",2.9467712015475,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","GOBP_RESPONSE_TO_TYPE_I_INTERFERON","RESPONSE TO TYPE I 
INTERFERON",1.48591770647778,0.00395111914988117,0.0420771481881023,"3/86","64/17332","8772/6772/3716","FADD/STAT1/JAK1",3,64,9,19,"Tcells","pos",1.37595370250785,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","PID_TNF_PATHWAY","TNF PATHWAY",1.94663558321489,7.86475855021887e-05,0.00363652696192612,"4/86","46/17332","8737/841/8772/6772","RIPK1/CASP8/FADD/STAT1",4,46,9,19,"Tcells","pos",2.43931318813591,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","REACTOME_5357786","TNFR1-induced proapoptotic signaling",1.67873408719861,3.25444214098703e-05,0.0017229946534997,"3/86","13/17332","8737/841/8772","RIPK1/CASP8/FADD",3,13,9,19,"Tcells","pos",2.76371607017773,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","BIOCARTA_CERAMIDE_PATHWAY","CERAMIDE PATHWAY",1.67873408719861,0.000147059155283231,0.00583048909752786,"3/86","21/17332","8737/841/8772","RIPK1/CASP8/FADD",3,21,8,19,"Tcells","pos",2.23429501240257,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","BIOCARTA_NFKB_PATHWAY","NFKB PATHWAY",1.3553527473378,0.00480667425244755,0.0481108832902584,"2/86","21/17332","8737/8772","RIPK1/FADD",2,21,8,19,"Tcells","pos",1.31775666960827,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","BIOCARTA_RELA_PATHWAY","RELA PATHWAY",1.3553527473378,0.002450196135341,0.0322000953105452,"2/86","15/17332","8737/8772","RIPK1/FADD",2,15,8,19,"Tcells","pos",1.49214284281403,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN","ANTIGEN PROCESSING AND PRESENTATION 
OF EXOGENOUS ANTIGEN",3.45375029583474,0.00163368332228589,0.0263236104017022,"3/86","47/17332","3105/567/6890","HLA-A/B2M/TAP1",3,47,8,19,"Tcells","pos",1.57965454552905,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_VIA_MHC_CLASS_IB","ANTIGEN PROCESSING AND PRESENTATION 
VIA MHC CLASS IB",2.59118437038948,0.00213035727275996,0.0298014320210331,"2/86","14/17332","567/6891","B2M/TAP2",2,14,8,19,"Tcells","pos",1.52576286666569,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","GOBP_RESPONSE_TO_ANTIBIOTIC","RESPONSE TO ANTIBIOTIC",1.65095920629261,0.00153487203070905,0.0257284087140702,"3/86","46/17332","9349/841/3716","RPL23/CASP8/JAK1",3,46,8,19,"Tcells","pos",1.58958707380013,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","KEGG_hsa04621","NOD-like receptor signaling pathway",2.15591873687318,0.00222148042353572,0.0300467388672387,"5/86","184/17332","8737/841/8772/6772/3716","RIPK1/CASP8/FADD/STAT1/JAK1",5,184,8,19,"Tcells","pos",1.52220265739898,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","REACTOME_140534","Caspase activation via Death 
Receptors in the presence 
of ligand",1.67873408719861,9.12020397816539e-05,0.00402374713608106,"3/86","18/17332","8737/841/8772","RIPK1/CASP8/FADD",3,18,8,19,"Tcells","pos",2.39536931941714,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","REACTOME_5218900","CASP8 activity is inhibited",1.67873408719861,3.25444214098703e-05,0.0017229946534997,"3/86","13/17332","8737/841/8772","RIPK1/CASP8/FADD",3,13,8,19,"Tcells","pos",2.76371607017773,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","GOBP_PEPTIDE_ANTIGEN_ASSEMBLY_WITH_MHC_PROTEIN_COMPLEX","PEPTIDE ANTIGEN ASSEMBLY WITH 
MHC PROTEIN COMPLEX",2.60222014734929,0.00436290138605095,0.0454182936424292,"2/86","20/17332","567/6892","B2M/TAPBP",2,20,7,19,"Tcells","pos",1.34276918617964,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","KEGG_hsa05166","Human T-cell leukemia virus 
1 infection",3.65150966498091,0.00495388798513624,0.0485690710923675,"5/86","222/17332","3105/567/4085/64784/3716","HLA-A/B2M/MAD2L1/CRTC3/JAK1",5,222,7,19,"Tcells","pos",1.31364020254543,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","PID_FAS_PATHWAY","FAS PATHWAY",1.67873408719861,0.000877696350870038,0.0183287321438576,"3/86","38/17332","8737/841/8772","RIPK1/CASP8/FADD",3,38,7,19,"Tcells","pos",1.73686757551625,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","REACTOME_5213460","RIPK1-mediated regulated necrosis",1.67873408719861,0.000221401094174269,0.00759733754638743,"3/86","24/17332","8737/841/8772","RIPK1/CASP8/FADD",3,24,7,19,"Tcells","pos",2.119338577653,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","REACTOME_5357905","Regulation of TNFR1 signaling",1.67873408719861,0.000811299272931287,0.0183287321438576,"3/86","37/17332","8737/841/8772","RIPK1/CASP8/FADD",3,37,7,19,"Tcells","pos",1.73686757551625,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","REACTOME_75158","TRAIL  signaling",1.23050802632092,0.000668308332707984,0.0161337727307613,"2/86","8/17332","841/8772","CASP8/FADD",2,8,7,19,"Tcells","pos",1.79226406506204,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","BIOCARTA_DEATH_PATHWAY","DEATH PATHWAY",1.67873408719861,0.00039260764522724,0.0113672182282199,"3/86","29/17332","8737/841/8772","RIPK1/CASP8/FADD",3,29,6,19,"Tcells","pos",1.94434580232593,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","BIOCARTA_NKCELLS_PATHWAY","NKCELLS PATHWAY",3.26672878639671,0.00436290138605095,0.0454182936424292,"2/86","20/17332","3105/567","HLA-A/B2M",2,20,6,19,"Tcells","pos",1.34276918617964,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I","ANTIGEN PROCESSING AND PRESENTATION 
OF EXOGENOUS PEPTIDE ANTIGEN 
VIA MHC CLASS I",2.46589380361814,0.000668308332707984,0.0161337727307613,"2/86","8/17332","3105/6890","HLA-A/TAP1",2,8,6,19,"Tcells","pos",1.79226406506204,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","GOBP_CELLULAR_RESPONSE_TO_INTERFERON_GAMMA","CELLULAR RESPONSE TO INTERFERON 
GAMMA",2.1488729820782,0.00273615789052747,0.0335768249744862,"4/86","117/17332","965/71/6772/3716","CD58/ACTG1/STAT1/JAK1",4,117,6,19,"Tcells","pos",1.47396037315487,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","GOBP_MYELOID_CELL_DIFFERENTIATION","MYELOID CELL DIFFERENTIATION",3.77765157694978,0.000142521155962062,0.00583048909752786,"9/86","393/17332","567/6729/8737/2551/841/8772/2488/6772/51327","B2M/SRP54/RIPK1/GABPA/CASP8/FADD/FSHB/STAT1/AHSP",9,393,6,19,"Tcells","pos",2.23429501240257,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","GOBP_RESPONSE_TO_INTERFERON_GAMMA","RESPONSE TO INTERFERON GAMMA",2.1488729820782,0.00506231392989268,0.0490434690749988,"4/86","139/17332","965/71/6772/3716","CD58/ACTG1/STAT1/JAK1",4,139,6,19,"Tcells","pos",1.30941881771388,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","GOBP_TRAIL_ACTIVATED_APOPTOTIC_SIGNALING_PATHWAY","TRAIL ACTIVATED APOPTOTIC SIGNALING 
PATHWAY",1.23050802632092,0.0018319164726459,0.0275416901160069,"2/86","13/17332","841/8772","CASP8/FADD",2,13,6,19,"Tcells","pos",1.56000941246204,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
"Tcells_2017_Nature_Patel_Mel624pos100","2017_Nature_Patel_Mel624","KEGG_hsa04210","Apoptosis",2.19191922971813,0.000578393546130621,0.0148856005691672,"5/86","136/17332","8737/71/841/8772/5366","RIPK1/ACTG1/CASP8/FADD/PMAIP1",5,136,6,19,"Tcells","pos",1.82723363877247,"2017_Nature_Patel_Mel624","2017_Nature_Patel","Melanoma"
